colour,hex,palette
google-blue,#4285F4,google
google-red,#DB4437,google
google-yellow,#F4B400,google
google-green,#F4B400,google
msft-orange,#F25022,msft
msft-green,#7FBA00,msft
msft-blue,#00A4EF,msft
msft-yellow,#FFB900,msft
msft-grey,#737373,msft
ig-blue,#405DE6,ig
ig-purpleblue,#5851DB,ig
ig-purple,#833AB4,ig
ig-purplered,#C13584,ig
ig-rose,#E1306C,ig
ig-red,#FD1D1D,ig
ig-redorange,#F56040,ig
ig-orange,#F77737,ig
ig-orangeyellow,#FCAF45,ig
ig-yellow,#FFDC80,ig
mck-deep-blue,#051C2C,mck
black,#000000,mck
mck-electric-blue,#1E40CA,mck
mck-cyan,#00A2ED,mck
darkgrey,#333333,mck
lightgrey,#999999,mck
bain-red,#EE3224,bain
black,#000000,bain
darkgrey,#333333,bain
lightgrey,#999999,bain
